Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Danny Santana,Rangers,128,544,503,125,25,5,19,65,66,29,151,5,17,7,,0.249,0.294,0.429,0.723,0.303,,78,1.4,-5.7,,-14.1,-6,-0.1,10322
Bubba Starling,Royals,26,105,97,23,5,0,2,10,10,6,27,1,1,1,,0.236,0.283,0.36,0.642,0.275,,66,0.1,-0.3,,-4.5,-0.2,-0.1,13356
Greg Allen,Indians,58,234,210,52,10,2,4,25,23,15,51,5,9,3,,0.246,0.31,0.362,0.672,0.29,,74,0.4,0.7,,-7.4,-1.9,-0.1,16623
Roman Quinn,Phillies,46,184,165,40,7,2,4,20,19,15,49,2,8,3,,0.24,0.308,0.379,0.687,0.295,,79,0.5,-0.9,,-4.7,-2.4,-0.1,13546
Ian Desmond,Rockies,58,236,214,56,11,2,9,28,31,17,58,2,4,2,,0.262,0.321,0.451,0.773,0.325,,85,0.1,-0.5,,-4.7,-4.4,-0.1,6885
Steve Wilkerson,,47,188,171,40,8,1,4,18,18,11,50,2,3,1,,0.235,0.29,0.357,0.648,0.279,,69,0,-1.3,,-7.5,-0.8,-0.2,16041
Travis Jankowski,Reds,42,179,157,37,6,1,2,18,14,17,40,1,6,2,,0.238,0.317,0.322,0.639,0.283,,69,0.5,-1.3,,-6.8,-0.6,-0.2,13768
Franchy Cordero,Padres,105,442,402,90,17,3,13,45,48,31,149,4,8,4,,0.225,0.284,0.383,0.666,0.284,,74,1.1,-2.6,,-13.8,-2.4,-0.2,14567
Jon Jay,Diamondbacks,28,120,109,29,5,1,1,12,10,7,23,2,1,0,,0.262,0.319,0.357,0.676,0.294,,78,0,-0.4,,-3.6,-2.2,-0.2,5227
Austin Jackson,,32,134,120,29,6,1,2,13,12,11,40,1,2,1,,0.24,0.304,0.355,0.66,0.285,,74,0,-1.6,,-4.6,-2.1,-0.2,9848
Magneuris Sierra,Marlins,46,185,173,44,6,2,2,16,16,8,35,1,7,4,,0.254,0.291,0.349,0.639,0.274,,70,0.3,-0.4,,-7.1,-1.9,-0.3,17023
Lewis Brinson,Marlins,94,378,343,75,15,3,10,34,38,24,113,6,6,3,,0.217,0.276,0.362,0.638,0.272,,68,0.2,-1.6,,-15.5,-0.2,-0.3,14352
Sam Hilliard,Rockies,89,362,328,81,14,3,14,41,47,27,110,2,11,5,,0.248,0.306,0.436,0.742,0.312,,76,0.2,-1.4,,-11.3,-4.2,-0.4,17954
