"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Richie Shaffer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".277",".358",".635",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","13271"
"Clint Robinson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".276",".355",".631",".271","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","6908"
"Kyle Jensen","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".262",".355",".617",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","7706"
"Pablo Sandoval","","23","96","87","22","5","0","4","10","12","6","21","1","0","0","",".251",".304",".437",".741",".310","","93","-0.3","-0.5","","-1.2","-1.9","0.0","","600.9","5409"
"Peter O'Brien","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".264",".367",".630",".268","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13288"
"Zach Walters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".264",".342",".606",".259","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","10622"
"Andy Wilkins","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".191",".267",".342",".609",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","11251"
"Ike Davis","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".270",".335",".605",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","8433"
"James Loney","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".276",".337",".613",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","4556"
"Matt Adams","","5","21","19","4","1","0","1","2","3","1","6","0","0","0","",".225",".285",".453",".738",".306","","92","0.0","0.0","","-0.3","-0.5","0.0","","600.7","9393"
"John Hicks","Diamondbacks","5","18","17","4","1","0","1","2","2","1","6","0","0","0","",".229",".275",".381",".655",".278","","67","0.0","0.1","","-0.8","0.4","0.0","","599.7","12547"
"Edwin Rios","Dodgers","3","13","12","3","1","0","1","2","2","1","5","0","0","0","",".227",".281",".430",".711",".297","","84","0.0","0.0","","-0.3","-0.4","0.0","","600.3","18316"
"Neil Walker","","25","104","91","22","4","0","3","11","12","11","23","1","0","0","",".241",".325",".408",".733",".313","","91","-0.1","-0.2","","-1.3","-2.4","0.0","","999.0","7539"
"Sam Travis","Rangers","6","26","24","6","1","0","1","3","3","2","6","0","0","0","",".255",".319",".405",".723",".308","","81","0.0","0.0","","-0.7","-0.7","0.0","","999.0","16263"
"Yonder Alonso","","13","56","49","12","2","0","2","6","7","6","12","0","0","0","",".244",".323",".422",".745",".316","","92","-0.2","0.0","","-0.8","-1.5","0.0","","999.0","2530"
"Dominic Smith","Mets","63","257","232","56","12","1","9","29","31","19","60","2","2","1","",".243",".305",".420",".725",".307","","92","-0.1","-1.2","","-2.7","-6.1","-0.1","","578.8","15653"
"Hanley Ramirez","","29","126","112","27","5","0","6","15","17","11","30","1","1","0","",".239",".313",".434",".747",".315","","93","-0.5","-0.2","","-1.6","-3.2","-0.1","","999.0","8001"
"Patrick Wisdom","","11","47","42","9","2","0","2","5","5","4","16","0","1","0","",".203",".272",".371",".643",".273","","71","0.0","0.0","","-1.7","-0.5","-0.1","","600.9","13602"
"Ian Desmond","Rockies","74","302","273","72","14","2","12","36","40","22","75","3","5","2","",".263",".322",".455",".777",".327","","86","0.2","-1.3","","-5.5","-4.9","-0.1","","581.5","6885"
"Albert Pujols","Angels","110","465","424","107","18","0","20","56","65","33","68","3","2","1","",".252",".308",".436",".744",".313","","96","-3.3","-2.1","","-5.8","-11.5","-0.1","","566.6","1177"
"Lucas Duda","","26","107","95","21","5","0","5","12","15","9","32","1","0","0","",".225",".302",".439",".742",".310","","90","-0.4","-0.2","","-1.7","-2.8","-0.1","","999.0","2502"
"Josh Fuentes","Rockies","31","124","116","30","6","1","4","13","15","5","32","1","1","0","",".261",".296",".419",".715",".301","","69","0.1","0.1","","-5.1","-2.5","-0.3","","999.0","16885"
"Chris Davis","Orioles","97","406","355","70","12","0","18","44","49","43","155","4","1","0","",".197",".289",".389",".678",".289","","76","-0.2","-0.7","","-12.8","-8.8","-0.7","","584.8","9272"
