Rank,Player/Team/Pos,Player,Team/Pos,H,R,RBI,BB,K,SB,Tot,Avg,
74,"Michael Conforto
NYMOF",Michael Conforto,NYMOF,122,84,86,74,134,3,235,1.8,235
75,"Mike Moustakas
Cin3B, 2B",Mike Moustakas,"Cin3B, 2B",131,72,86,44,100,2,235,1.7,235
76,"Lorenzo Cain
MilOF",Lorenzo Cain,MilOF,147,72,42,52,97,16,232,1.7,232
77,"Yasiel Puig
FAOF",Yasiel Puig,FAOF,139,71,78,46,115,13,--,1.6,232
78,"Hanser Alberto
Bal2B, 3B",Hanser Alberto,"Bal2B, 3B",155,59,54,15,52,1,232,1.6,232
79,"Gleyber Torres
NYYSS, 2B",Gleyber Torres,"NYYSS, 2B",144,82,87,49,136,5,231,1.6,231
80,"Nicholas Castellanos
CinOF",Nicholas Castellanos,CinOF,163,89,79,42,143,1,231,1.6,231
81,"Kolten Wong
StL2B",Kolten Wong,StL2B,127,62,56,49,85,22,231,1.5,231
82,"Bo Bichette
TorSS",Bo Bichette,TorSS,148,83,67,40,123,15,230,1.7,230
83,"Trevor Story
ColSS",Trevor Story,ColSS,157,90,86,53,174,15,227,1.6,227
84,"Kyle Seager
Sea3B",Kyle Seager,Sea3B,132,70,84,50,110,1,227,1.6,227
85,"Andrelton Simmons
LAASS",Andrelton Simmons,LAASS,125,54,52,29,43,9,226,1.9,226
86,"Alex Verdugo
BosOF",Alex Verdugo,BosOF,132,58,55,38,67,9,225,2.1,225
87,"Nicky Lopez
KC2B, SS",Nicky Lopez,"KC2B, SS",135,64,41,37,59,7,225,1.7,225
88,"Cavan Biggio
Tor2B",Cavan Biggio,Tor2B,115,79,77,92,154,14,223,1.7,223
89,"Amed Rosario
NYMSS",Amed Rosario,NYMSS,159,75,66,30,122,14,222,1.5,222
90,"Gio Urshela
NYY3B",Gio Urshela,NYY3B,150,73,72,28,101,0,222,1.6,222
91,"Starlin Castro
Wsh2B, 3B",Starlin Castro,"Wsh2B, 3B",148,69,74,29,99,1,222,1.7,222
92,"Wilson Ramos
NYMC",Wilson Ramos,NYMC,127,51,77,42,78,1,220,1.6,220
93,"Edwin Encarnacion
ChW1B, DH",Edwin Encarnacion,"ChW1B, DH",107,77,88,63,117,1,219,1.8,219
94,"Matt Olson
Oak1B",Matt Olson,Oak1B,136,80,93,61,153,1,218,1.5,218
95,"Ramon Laureano
OakOF",Ramon Laureano,OakOF,149,93,78,41,159,16,218,1.5,218
96,"David Fletcher
LAA3B, 2B, SS, OF",David Fletcher,"LAA3B, 2B, SS, OF",131,62,38,34,54,7,218,1.8,218
97,"Maikel Franco
KC3B",Maikel Franco,KC3B,120,56,68,41,69,0,216,1.7,216
98,"Jorge Soler
KCOF, DH",Jorge Soler,"KCOF, DH",137,76,91,66,161,3,212,1.5,212
99,"Eloy Jimenez
ChWOF",Eloy Jimenez,ChWOF,146,77,86,37,136,0,210,1.5,210
100,"Eugenio Suarez
Cin3B",Eugenio Suarez,Cin3B,134,74,87,61,147,1,210,1.5,210
101,"Kole Calhoun
AriOF",Kole Calhoun,AriOF,126,81,68,63,132,4,210,1.5,210
102,"Jurickson Profar
SD2B",Jurickson Profar,SD2B,103,61,60,47,69,8,210,1.7,210
103,"Jose Iglesias
BalSS",Jose Iglesias,BalSS,135,56,56,20,63,6,210,1.5,210
104,"Aaron Judge
NYYOF",Aaron Judge,NYYOF,128,92,75,86,175,3,209,1.6,209
105,"Tim Anderson
ChWSS",Tim Anderson,ChWSS,160,83,63,22,134,15,209,1.4,209
106,"Lourdes Gurriel Jr.
TorOF",Lourdes Gurriel Jr.,TorOF,140,77,90,24,126,3,208,1.5,208
107,"Shogo Akiyama
CinOF",Shogo Akiyama,CinOF,129,72,48,53,105,11,208,1.8,208
108,"Javier Baez
ChCSS",Javier Baez,ChCSS,152,90,91,29,164,9,207,1.4,207
109,"Giancarlo Stanton
NYYOF",Giancarlo Stanton,NYYOF,124,85,94,62,160,1,206,1.7,206
110,"Kyle Schwarber
ChCOF",Kyle Schwarber,ChCOF,129,77,80,75,158,1,204,1.4,204
111,"Victor Robles
WshOF",Victor Robles,WshOF,135,77,61,34,128,24,203,1.4,203
112,"J.D. Davis
NYMOF, 3B",J.D. Davis,"NYMOF, 3B",136,74,70,44,124,3,203,1.4,203
113,"Nick Ahmed
AriSS",Nick Ahmed,AriSS,125,66,69,44,106,5,203,1.4,203
114,"Miguel Rojas
MiaSS",Miguel Rojas,MiaSS,127,52,49,31,60,4,203,1.5,203
115,"Brian Anderson
Mia3B, OF",Brian Anderson,"Mia3B, OF",129,72,72,50,123,2,202,1.5,202
116,"Yandy Diaz
TB3B, 1B",Yandy Diaz,"TB3B, 1B",121,68,48,57,94,1,201,1.6,201
117,"Corey Dickerson
MiaOF",Corey Dickerson,MiaOF,137,65,74,29,106,2,201,1.4,201
118,"Asdrubal Cabrera
Wsh3B, 2B",Asdrubal Cabrera,"Wsh3B, 2B",113,61,73,46,94,2,201,1.6,201
119,"Oscar Mercado
CleOF",Oscar Mercado,CleOF,133,74,51,37,115,20,200,1.5,200
120,"Jason Heyward
ChCOF",Jason Heyward,ChCOF,110,62,52,51,78,3,200,1.6,200
121,"Keston Hiura
Mil2B",Keston Hiura,Mil2B,145,82,78,46,163,11,199,1.4,199
122,"Nick Markakis
AtlOF",Nick Markakis,AtlOF,111,50,53,44,60,1,199,1.9,199
123,"Ryan Braun
MilOF",Ryan Braun,MilOF,120,65,68,36,100,9,198,1.4,198
124,"Joc Pederson
LADOF, 1B",Joc Pederson,"LADOF, 1B",102,77,68,48,99,1,197,1.5,197
125,"Brandon Belt
SF1B",Brandon Belt,SF1B,122,70,55,76,129,3,197,1.3,197
126,"Paul DeJong
StLSS",Paul DeJong,StLSS,128,82,74,50,142,3,195,1.4,195
127,"Miguel Andujar
NYYDH",Miguel Andujar,NYYDH,132,59,69,22,88,1,195,1.5,195
128,"Fernando Tatis Jr.
SDSS",Fernando Tatis Jr.,SDSS,145,91,70,47,176,17,194,1.4,194
129,"Jonathan Villar
Mia2B, SS",Jonathan Villar,"Mia2B, SS",137,78,56,51,157,28,193,1.4,193
130,"Nick Solak
TexDH",Nick Solak,TexDH,121,75,65,51,126,6,192,1.5,192
131,"Eric Hosmer
SD1B",Eric Hosmer,SD1B,145,68,78,44,145,1,191,1.3,191
132,"Gregory Polanco
PitOF",Gregory Polanco,PitOF,114,68,68,52,121,10,191,1.4,191
133,"Daniel Vogelbach
Sea1B, DH",Daniel Vogelbach,"Sea1B, DH",102,66,73,83,133,0,191,1.4,191
134,"Albert Pujols
LAA1B, DH",Albert Pujols,"LAA1B, DH",106,45,74,30,66,2,191,1.7,191
135,"Yasmani Grandal
ChWC, 1B",Yasmani Grandal,"ChWC, 1B",99,62,63,77,117,2,186,1.5,186
136,"C.J. Cron
Det1B",C.J. Cron,Det1B,129,60,84,31,119,1,186,1.4,186
137,"Omar Narvaez
MilC",Omar Narvaez,MilC,114,57,49,53,87,0,186,1.4,186
138,"Yoan Moncada
ChW3B",Yoan Moncada,ChW3B,146,81,75,50,175,7,184,1.3,184
139,"Avisail Garcia
MilOF, DH",Avisail Garcia,"MilOF, DH",136,65,74,32,128,5,184,1.4,184
140,"David Peralta
AriOF",David Peralta,AriOF,123,58,63,37,98,1,184,1.6,184
141,"Stephen Piscotty
OakOF",Stephen Piscotty,OakOF,117,64,64,42,105,2,184,1.5,184
142,"Khris Davis
OakDH",Khris Davis,OakDH,116,76,92,51,153,1,183,1.4,183
143,"Justin Smoak
Mil1B, DH",Justin Smoak,"Mil1B, DH",98,58,63,75,111,0,183,1.5,183
144,"Victor Reyes
DetOF",Victor Reyes,DetOF,135,62,56,21,103,12,183,1.4,183
145,"Mallex Smith
SeaOF",Mallex Smith,SeaOF,118,65,36,39,114,38,182,1.4,182
146,"Christian Vazquez
BosC",Christian Vazquez,BosC,126,59,59,32,98,4,182,1.3,182
147,"Robinson Cano
NYM2B",Robinson Cano,NYM2B,111,54,55,31,69,0,182,1.6,182
148,"Dansby Swanson
AtlSS",Dansby Swanson,AtlSS,124,66,60,53,128,6,181,1.3,181
149,"Anthony Santander
BalOF",Anthony Santander,BalOF,132,65,74,28,121,2,180,1.3,180
150,"Mitch Garver
MinC",Mitch Garver,MinC,99,71,68,50,110,0,178,1.5,178
151,"Jon Berti
MiaSS, 3B, OF",Jon Berti,"MiaSS, 3B, OF",108,63,43,42,104,25,177,1.5,177
152,"Jesse Winker
CinOF",Jesse Winker,CinOF,101,50,43,46,63,0,177,1.5,177
153,"Shin-Soo Choo
TexOF, DH",Shin-Soo Choo,"TexOF, DH",122,68,48,67,138,9,176,1.4,176
154,"Matt Carpenter
StL3B",Matt Carpenter,StL3B,102,71,54,76,131,4,176,1.4,176
155,"Brett Gardner
NYYOF",Brett Gardner,NYYOF,99,69,50,44,96,9,175,1.5,175
