Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Brandon Guyer,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.298,0.379,0.677,0.291,,78,0,0,,0,0,0,2636
Jose Bautista,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.206,0.318,0.369,0.687,0.299,,83,0,0,,0,0,0,1887
Scott Schebler,Reds,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.296,0.4,0.696,0.296,,77,0,0,,0,0,0,12225
Mark Zagunis,Cubs,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.312,0.347,0.659,0.289,,75,0,0,,0,0,0,16565
Ryan Cordell,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.221,0.28,0.366,0.646,0.276,,71,0,0,,0,0,0,15181
Dariel Alvarez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.255,0.292,0.393,0.685,0.29,,77,0,0,,0,0,0,15580
Danny Ortiz,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.229,0.275,0.406,0.681,0.285,,74,0,0,,0,0,0,10317
Jim Adduci,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.247,0.29,0.379,0.669,0.284,,73,0,0,,0,0,0,6448
Noel Cuevas,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.27,0.317,0.407,0.725,0.308,,73,0,0,,0,0,0,11894
Peter Bourjos,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.273,0.366,0.639,0.272,,65,0,0,,0,0,0,2578
Yasmany Tomas,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.275,0.428,0.702,0.292,,77,0,0,,0,0,0,17171
Johnny Field,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.268,0.373,0.641,0.272,,65,0,0,,0,0,0,15048
Brandon Barnes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.219,0.274,0.364,0.638,0.272,,65,0,0,,0,0,0,629
Craig Gentry,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.288,0.329,0.617,0.269,,63,0,0,,0,0,0,9571
Paulo Orlando,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.226,0.27,0.353,0.623,0.265,,61,0,0,,-0.1,0,0,8628
Rafael Bautista,Nationals,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.242,0.292,0.332,0.625,0.271,,62,0,0,,0,0,0,15769
Matt den Dekker,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.211,0.27,0.353,0.623,0.267,,62,0,0,,-0.1,0,0,11385
Braxton Lee,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.219,0.282,0.298,0.58,0.255,,58,0,0,,-0.1,0,0,16839
Trayce Thompson,Diamondbacks,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.19,0.252,0.354,0.606,0.257,,54,0,0,,-0.1,0,0,9952
Skye Bolt,Athletics,2,6,6,1,0,0,0,1,1,0,2,0,0,0,,0.215,0.279,0.346,0.625,0.269,,68,0,0,,-0.3,0,0,17723
Sam Haggerty,Mariners,3,13,12,3,1,0,0,1,1,1,4,0,0,0,,0.215,0.294,0.312,0.606,0.266,,66,0,0,,-0.6,0,0,18054
Kyle Garlick,Dodgers,2,7,6,1,0,0,0,1,1,0,2,0,0,0,,0.22,0.27,0.401,0.671,0.281,,74,0,0,,-0.2,-0.1,0,18063
Ben Gamel,Brewers,28,114,100,26,6,1,2,12,12,11,28,1,1,1,,0.258,0.335,0.393,0.728,0.313,,90,0.3,0,,-1.2,-2.6,0,12160
Mac Williamson,Mariners,3,13,12,3,0,0,0,1,2,1,4,0,0,0,,0.23,0.298,0.401,0.699,0.297,,78,0,0,,-0.4,-0.2,0,14158
Lonnie Chisenhall,,29,119,108,26,6,1,3,12,13,9,27,1,1,0,,0.245,0.307,0.399,0.706,0.3,,84,0.3,-0.5,,-2.3,-1.9,0,7571
Michael Hermosillo,Angels,10,39,35,7,1,0,1,4,4,3,12,1,1,0,,0.215,0.287,0.358,0.646,0.279,,73,0,0.1,,-1.3,-0.2,0,16285
Matt Kemp,Marlins,3,14,13,3,1,0,1,1,2,1,3,0,0,0,,0.247,0.294,0.425,0.719,0.302,,88,-0.1,-0.3,,-0.3,-0.4,0,5631
Andrew Stevenson,Nationals,5,19,17,4,1,0,0,2,2,1,5,0,0,0,,0.25,0.304,0.35,0.654,0.283,,69,0,-0.1,,-0.8,-0.1,0,17932
Phillip Ervin,Reds,75,314,279,68,13,3,9,35,35,27,76,4,8,3,,0.243,0.316,0.41,0.726,0.309,,86,0.6,-3.1,,-5.2,-5.3,0,14738
Tim Locastro,Diamondbacks,33,137,122,31,7,1,2,15,13,8,26,5,5,2,,0.25,0.32,0.373,0.693,0.301,,82,0.5,-0.2,,-2.7,-2,0,15124
Nick Williams,Phillies,7,27,25,6,1,0,1,3,3,2,8,0,0,0,,0.242,0.297,0.43,0.727,0.306,,86,0,-0.1,,-0.5,-0.7,0,14330
Charlie Tilson,Pirates,10,39,35,9,2,0,0,3,3,2,8,0,1,0,,0.259,0.311,0.349,0.66,0.286,,75,0.1,-0.5,,-1.2,-0.4,0,12983
Anthony Alford,Blue Jays,24,101,91,20,4,0,2,11,9,7,30,1,4,2,,0.225,0.29,0.35,0.64,0.277,,70,0.2,-0.6,,-3.7,-0.3,0,14329
Tyrone Taylor,Brewers,7,27,25,6,1,0,1,3,3,2,7,0,0,0,,0.224,0.274,0.367,0.642,0.274,,64,0,-0.1,,-1.3,-0.5,-0.1,13675
Bubba Starling,Royals,26,105,97,23,5,0,2,10,10,6,27,1,1,1,,0.236,0.283,0.36,0.642,0.275,,66,0.1,-0.3,,-4.5,-0.2,-0.1,13356
Kevin Kramer,Pirates,23,91,83,20,4,0,2,9,9,6,26,1,1,1,,0.239,0.298,0.362,0.66,0.284,,74,0.1,-0.3,,-3.1,-1.1,-0.1,17689
Travis Jankowski,Reds,42,179,157,37,6,1,2,18,14,17,40,1,6,2,,0.238,0.317,0.322,0.639,0.283,,69,0.5,-1.3,,-6.8,-0.6,-0.2,13768
Mark Trumbo,,52,217,198,47,9,0,10,25,31,16,57,1,1,0,,0.238,0.295,0.442,0.737,0.309,,90,-0.5,-0.2,,-3.4,-5.6,-0.2,6876
Melky Cabrera,,70,292,270,74,16,1,7,32,34,17,39,2,2,1,,0.276,0.321,0.422,0.743,0.314,,93,-1.2,-2.6,,-3.9,-7.7,-0.2,4022
Jon Jay,Diamondbacks,28,120,109,29,5,1,1,12,10,7,23,2,1,0,,0.262,0.319,0.357,0.676,0.294,,78,0,-0.4,,-3.6,-2.2,-0.2,5227
Adolis Garcia,Rangers,29,121,113,26,5,1,5,14,15,5,37,1,3,1,,0.233,0.271,0.423,0.694,0.29,,69,0,-0.3,,-4.8,-1.7,-0.2,19287
Magneuris Sierra,Marlins,46,185,173,44,6,2,2,16,16,8,35,1,7,4,,0.254,0.291,0.349,0.639,0.274,,70,0.3,-0.4,,-7.1,-1.9,-0.3,17023
