"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Donnie Walton","","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".250",".316",".353",".669",".292","","83","0.0","-0.1","","-0.3","0.1","0.0","","999.0","19314"
"Yairo Munoz","Red Sox","5","20","18","5","1","0","1","2","2","1","4","0","1","0","",".260",".310",".407",".716",".303","","82","0.0","0.0","","-0.4","0.0","0.0","","999.0","16313"
"Jack Mayfield","","3","13","12","3","1","0","0","1","2","1","3","0","0","0","",".227",".275",".386",".661",".280","","75","0.0","0.1","","-0.4","0.1","0.0","","999.0","15402"
"Nick Gordon","","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".254",".297",".364",".661",".284","","73","0.0","0.0","","-0.5","0.1","0.0","","999.0","sa828662"
"Ronny Rodriguez","","3","13","13","3","1","0","1","1","2","1","3","0","0","0","",".247",".282",".429",".711",".297","","79","0.0","0.0","","-0.4","0.0","0.0","","600.2","11875"
"Tzu-Wei Lin","Red Sox","6","26","24","6","1","0","0","3","2","2","6","0","0","0","",".245",".303",".354",".658",".284","","70","0.0","0.0","","-1.0","0.2","0.0","","999.0","14678"
"Humberto Arteaga","Royals","3","13","12","3","1","0","0","1","1","1","2","0","0","0","",".258",".292",".341",".633",".273","","65","0.0","0.1","","-0.6","0.2","0.0","","999.0","13595"
"Richie Martin Jr.","Orioles","32","126","115","27","5","1","2","12","12","8","28","2","4","1","",".235",".289",".352",".641",".276","","67","0.0","-0.1","","-5.3","0.9","0.0","","600.0","17736"
"Jorge Mateo","Athletics","15","59","55","13","2","1","1","6","6","3","16","0","2","1","",".231",".271",".366",".637",".270","","68","0.1","0.0","","-2.4","0.3","0.0","","999.0","sa657910"
"Chad De La Guerra","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".302",".392",".694",".296","","78","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875729"
"Taylor Walls","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".298",".358",".656",".282","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915802"
"Wander Franco","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".301",".355",".656",".282","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007033"
"Max Moroff","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".311",".348",".659",".289","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","14556"
"Daniel Pinero","Tigers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".299",".362",".661",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738204"
"Alex De Goti","Astros","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".290",".358",".648",".279","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa919320"
"Wilfredo Tovar","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".303",".360",".663",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","10416"
"Yonny Hernandez","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".337",".328",".665",".295","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872473"
"Nate Orf","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".318",".339",".657",".288","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","15407"
"Hoy Jun Park","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".309",".328",".637",".281","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877610"
"Robbie Glendinning","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".300",".368",".668",".287","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004978"
"Drew Maggi","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".310",".340",".649",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549144"
"Braden Shewmake","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".305",".371",".676",".291","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010332"
"Eddy Alvarez","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".307",".342",".648",".283","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","sa806877"
"Owen Miller","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".298",".360",".658",".283","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006673"
"Eli White","Rangers","5","20","18","4","1","0","0","2","2","1","5","0","0","0","",".237",".300",".355",".655",".283","","65","0.0","0.0","","-0.9","0.2","0.0","","600.1","sa738478"
"Royce Lewis","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".285",".369",".654",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004259"
"Dorssys Paulino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".298",".349",".647",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa659464"
"Brock Hebert","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".307",".333",".640",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658259"
"Ronald Bueno","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".297",".344",".641",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549192"
"Peter Maris","Giants","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".293",".346",".638",".276","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877608"
"Calten Daal","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".263",".295",".345",".640",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa729572"
"Mason McCoy","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".298",".339",".638",".276","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002758"
"Kevin Smith","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".263",".383",".646",".272","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915864"
"Kramer Robertson","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".303",".325",".628",".277","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857820"
"Jazz Chisholm","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".274",".365",".639",".273","","69","0.0","0.0","","0.0","0.0","0.0","","599.2","sa919327"
"Kyle Holder","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".287",".343",".630",".272","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857840"
"Wilmer Difo","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".246",".308",".352",".660",".283","","69","0.0","0.0","","-0.2","0.0","0.0","","999.0","14320"
"Tyler Friis","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".300",".338",".638",".277","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915593"
"Emilio Guerrero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".282",".361",".643",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597507"
"Mikey White","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".280",".335",".615",".266","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658966"
"Alan Trejo","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".303",".405",".709",".301","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002726"
"Ryan Goins","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".295",".350",".645",".278","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","9807"
"Jose Rondon","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".284",".386",".670",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","14140"
"Stephen Alemais","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".299",".334",".633",".275","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874070"
"Laz Rivera","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".277",".341",".619",".266","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004128"
"Ernie Clement","Indians","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".298",".334",".632",".274","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915732"
"Ivan Castillo","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".283",".350",".633",".271","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657222"
"Tyler Saladino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".292",".365",".657",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","10807"
"Luis Garcia","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".264",".292",".356",".648",".278","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa962605"
"Omar Estevez","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".282",".339",".621",".268","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa914242"
"Chris Mariscal","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".279",".317",".596",".260","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa600255"
"Edwin Diaz","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".269",".336",".605",".260","","62","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738152"
"Ryan Dorow","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".298",".343",".641",".278","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004295"
"Luis Carpio","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".284",".323",".607",".265","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827960"
"Gianfranco Wawoe","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".284",".339",".623",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa596239"
"Jecksson Flores","Nationals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".295",".341",".636",".276","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597007"
"Josh Morgan","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".299",".342",".641",".277","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828797"
"Matt Williams","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".293",".323",".616",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","sa577691"
"Angelo Mora","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".281",".340",".620",".267","","61","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597177"
"Brett Pope","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".294",".324",".618",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004513"
"Jose Reyes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".301",".369",".670",".288","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","1736"
"Mat Batten","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".290",".326",".616",".268","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004179"
"Nick Maton","Phillies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".290",".338",".628",".272","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876186"
