"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Cam Maron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".306",".350",".656",".285","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","sa503041"
"Jose Godoy","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".299",".355",".654",".283","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657267"
"Brian O'Keefe","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".282",".346",".628",".272","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829152"
"Patrick Mazeika","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".286",".354",".640",".276","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa827167"
"Alejandro Kirk","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".293",".344",".637",".276","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005337"
"Ryan Lavarnway","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".300",".358",".658",".285","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","8879"
"Dominic Miroglio","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".299",".363",".662",".284","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739013"
"Sam Tidaback","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".283",".367",".650",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918476"
"Stevie Berman","Dodgers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".289",".349",".638",".276","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873599"
"Michael De La Cruz","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".298",".355",".654",".283","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736830"
"Ben Rortvedt","Twins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".290",".351",".641",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917942"
"Dan Butler","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".299",".336",".636",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9968"
"Max Pentecost","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".270",".370",".639",".271","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa601924"
"Tyler Marlette","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".284",".359",".643",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597836"
"Ryan Casteel","Braves","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".284",".379",".663",".282","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549286"
"Ian Rice","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".297",".344",".641",".279","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658968"
"Freddy Fermin","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".280",".360",".640",".273","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918173"
"Julio Rodriguez","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".276",".366",".642",".272","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917669"
"Alex Monsalve","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".282",".354",".636",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa505988"
"Luis Campusano","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".288",".344",".632",".273","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004041"
"Jett Bandy","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".279",".372",".651",".278","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","12508"
"Brian Serven","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".299",".401",".701",".298","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857231"
