Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Abraham Almonte,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.238,0.319,0.41,0.73,0.311,,89,0,0,,0,0,0,5486
Jose Pirela,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.255,0.306,0.406,0.712,0.301,,84,0,0,,0,0,0,5485
Pablo Reyes,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.253,0.311,0.402,0.713,0.303,,86,0,0,,0,0,0,16357
Andrew Toles,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.25,0.294,0.404,0.698,0.295,,83,0,0,,0,0,0,13414
Jabari Blash,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.211,0.316,0.405,0.721,0.309,,90,0,0,,0,0,0,11247
Denard Span,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.249,0.319,0.401,0.72,0.309,,89,0,0,,0,0,0,8347
Jace Peterson,Brewers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.241,0.326,0.377,0.703,0.305,,84,0,0,,0,0,0,12325
Michael Reed,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.322,0.359,0.681,0.297,,82,0,0,,0,0,0,13228
Connor Joe,Dodgers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.229,0.313,0.368,0.681,0.295,,83,0,0,,0,0,0,16572
Matt Szczur,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.237,0.314,0.392,0.705,0.303,,84,0,0,,0,0,0,11255
Moises Sierra,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.259,0.328,0.39,0.717,0.308,,86,0,0,,0,0,0,6050
Joey Rickard,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.311,0.377,0.688,0.296,,84,0,0,,0,0,0,13277
Nick Franklin,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.232,0.3,0.372,0.673,0.29,,77,0,0,,0,0,0,10166
Dylan Cozens,Rays,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.196,0.286,0.392,0.678,0.288,,81,0,0,,0,0,0,15115
Rusney Castillo,Red Sox,2,7,6,2,0,0,0,1,1,0,1,0,0,0,,0.279,0.316,0.411,0.727,0.309,,86,0,0,,-0.1,-0.1,0,17016
Christopher Bostick,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.241,0.298,0.361,0.659,0.284,,73,0,0,,0,0,0,13718
Mikie Mahtook,Phillies,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.296,0.412,0.708,0.299,,82,0,0,,0,0,0,13130
Curtis Granderson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.216,0.31,0.393,0.703,0.302,,85,0,0,,0,0,0,4747
John Andreoli,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.321,0.35,0.671,0.294,,77,0,0,,0,0,0,13012
Jarrett Parker,Mets,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.208,0.301,0.384,0.685,0.292,,83,0,0,,0,0,0,11624
Rafael Ortega,Braves,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.251,0.316,0.382,0.698,0.299,,81,0,0,,0,0,0,10323
Gerardo Parra,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.249,0.301,0.387,0.688,0.292,,78,0,0,,0,0,0,8553
Aaron Altherr,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.22,0.301,0.385,0.685,0.294,,80,0,0,,0,0,0,11270
Dustin Peterson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.244,0.293,0.384,0.676,0.288,,76,0,0,,0,0,0,15189
Mike Gerber,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.231,0.287,0.384,0.671,0.286,,77,0,0,,0,0,0,16115
Chris Young,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.226,0.302,0.406,0.708,0.302,,85,0,0,,0,0,0,3882
Tim Lopes,Mariners,3,13,12,3,1,0,0,1,1,1,3,0,1,0,,0.25,0.308,0.36,0.668,0.289,,81,0,0,,-0.3,-0.2,0,14137
Preston Tucker,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.299,0.406,0.704,0.299,,83,0,0,,0,0,0,13633
Allen Cordoba,Padres,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.24,0.287,0.337,0.624,0.269,,65,0,0,,0,0,0,15722
Jack Reinheimer,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.237,0.297,0.325,0.622,0.272,,65,0,0,,0,0,0,14938
Dalton Pompey,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.229,0.303,0.347,0.65,0.283,,72,0,0,,0,0,0,12797
Shane Robinson,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.243,0.3,0.346,0.646,0.28,,72,0,0,,0,0,0,4249
Jake Elmore,Pirates,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.259,0.329,0.338,0.667,0.292,,79,0,0,,0,0,0,7290
Chris Marrero,Red Sox,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.236,0.296,0.393,0.689,0.294,,76,0,0,,0,0,0,2852
Brandon Guyer,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.227,0.298,0.379,0.677,0.291,,78,0,0,,0,0,0,2636
Cody Asche,Twins,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.213,0.292,0.352,0.643,0.278,,69,0,0,,0,0,0,11997
Rob Refsnyder,Rangers,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.242,0.314,0.357,0.67,0.29,,69,0,0,,0,0,0,13770
Julio Borbon,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.248,0.3,0.352,0.652,0.281,,70,0,0,,0,0,0,3209
Gorkys Hernandez,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0.222,0.29,0.357,0.647,0.279,,70,0,0,,0,0,0,4146
