"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Robel Garcia","","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".223",".291",".438",".729",".305","","86","0.0","0.0","","-0.1","0.0","0.0","","999.0","13167"
"Ronny Rodriguez","","3","13","13","3","1","0","1","1","2","1","3","0","0","0","",".247",".282",".429",".711",".297","","79","0.0","0.0","","-0.4","0.0","0.0","","600.2","11875"
"Tzu-Wei Lin","Red Sox","6","26","24","6","1","0","0","3","2","2","6","0","0","0","",".245",".303",".354",".658",".284","","70","0.0","0.0","","-1.0","0.2","0.0","","999.0","14678"
"Kean Wong","","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".251",".304",".356",".660",".284","","76","0.0","0.0","","-0.4","0.1","0.0","","999.0","15994"
"Ildemaro Vargas","Diamondbacks","20","81","76","21","4","1","1","9","9","4","9","1","1","0","",".281",".320",".406",".726",".309","","88","0.0","-0.4","","-1.3","-1.2","0.0","","999.0","13324"
"Yangervis Solarte","","3","13","12","3","1","0","0","1","2","1","2","0","0","0","",".253",".306",".422",".728",".307","","86","-0.1","-0.1","","-0.3","-0.1","0.0","","999.0","5352"
"Dilson Herrera","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".295",".411",".706",".298","","82","0.0","0.0","","0.0","0.0","0.0","","999.0","14335"
"Max Moroff","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".311",".348",".659",".289","","81","0.0","0.0","","0.0","0.0","0.0","","999.0","14556"
"Nate Orf","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".318",".339",".657",".288","","80","0.0","0.0","","0.0","0.0","0.0","","999.0","15407"
"Garrett Hampson","Rockies","60","243","221","60","11","2","5","27","26","18","51","1","11","4","",".271",".328",".404",".732",".313","","77","0.9","-0.4","","-6.6","-1.3","0.0","","208.3","19262"
"Jose Pirela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".307",".406",".713",".301","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","5485"
"Marco Hernandez","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".269",".307",".384",".692",".295","","77","0.0","0.0","","0.0","0.0","0.0","","999.0","13154"
"Wilmer Difo","Nationals","2","6","6","1","0","0","0","1","1","0","1","0","0","0","",".246",".308",".352",".660",".283","","69","0.0","0.0","","-0.2","0.0","0.0","","999.0","14320"
"Gordon Beckham","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".299",".371",".669",".288","","76","0.0","0.0","","0.0","0.0","0.0","","999.0","9015"
"Ryan Goins","Athletics","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".295",".350",".645",".278","","74","0.0","0.0","","0.0","0.0","0.0","","999.0","9807"
"Christopher Bostick","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".299",".361",".659",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","13718"
"Mike Freeman","Indians","6","26","23","6","1","0","0","3","2","2","7","0","0","0","",".241",".308",".339",".646",".282","","69","0.0","-0.1","","-1.0","0.1","0.0","","600.6","11241"
"Tyler Saladino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".292",".365",".657",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","10807"
"Cory Spangenberg","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".293",".373",".667",".285","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","12294"
"Gavin Cecchini","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".299",".355",".654",".282","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","17005"
"Miguel Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".258",".284",".373",".657",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","17075"
"Ivan De Jesus","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".304",".336",".640",".279","","70","0.0","0.0","","0.0","0.0","0.0","","999.0","9886"
"Jesmuel Valentin","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".297",".341",".638",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","14548"
"Stephen Drew","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".285",".381",".666",".284","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","4251"
"Dixon Machado","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".298",".328",".626",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","11472"
"Richard Urena","Orioles","5","19","18","4","1","0","0","2","2","1","4","0","0","0","",".241",".281",".353",".634",".270","","63","0.0","0.1","","-0.9","0.2","0.0","","999.0","16411"
"Brandon Phillips","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".288",".357",".645",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","791"
"Danny Espinosa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".272",".359",".631",".269","","63","0.0","0.0","","0.0","0.0","0.0","","999.0","9219"
"Phil Gosselin","Phillies","3","13","12","3","1","0","0","1","1","1","3","0","0","0","",".247",".308",".369",".677",".291","","76","0.0","-0.1","","-0.4","0.0","0.0","","999.0","10953"
"Ryan Schimpf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".276",".372",".648",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9953"
"Tony Renda","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".292",".340",".632",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","13443"
"Johnny Giavotella","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".298",".352",".650",".281","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","6740"
"Juniel Querecuto","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".289",".348",".637",".273","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12140"
"Darwin Barney","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".294",".347",".642",".277","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","2430"
"Hernan Iribarren","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".295",".328",".622",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","4177"
"Jemile Weeks","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".291",".313",".604",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","2498"
"Nolan Fontana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".293",".298",".591",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13267"
"Mike Miller","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".293",".311",".604",".265","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","13891"
"Michael Martinez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".283",".334",".617",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","7358"
"Robert Andino","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".272",".344",".615",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","4900"
"Emmanuel Burriss","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".279",".324",".603",".261","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","2917"
"Steve Lombardozzi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".288",".293",".581",".256","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","5422"
"Chase d'Arnaud","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".274",".318",".591",".258","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","6652"
"Nick Noonan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".270",".317",".586",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","6880"
"Gregorio Petit","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".277",".320",".597",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","3812"
"Sam Haggerty","Mariners","2","7","6","1","0","0","0","1","1","1","2","0","0","0","",".215",".294",".312",".605",".266","","66","0.0","0.0","","-0.3","0.0","0.0","","999.0","18054"
"Tyler Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".269",".298",".567",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","12490"
"Grant Green","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".277",".322",".599",".259","","56","0.0","0.0","","-0.1","0.0","0.0","","999.0","10053"
"Cliff Pennington","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".278",".308",".586",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","3395"
"Tyler Ladendorf","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".276",".306",".582",".255","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","3211"
"Omar Infante","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".276",".327",".602",".259","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","1609"
"Micah Johnson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".270",".310",".580",".253","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","13809"
"Jordan Pacheco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".270",".326",".596",".257","","55","0.0","0.0","","-0.1","0.0","0.0","","999.0","2677"
"Engelb Vielma","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".272",".280",".552",".244","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","15481"
"Blake Trahan","Reds","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".271",".291",".562",".247","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","17588"
"Reid Brignac","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".274",".306",".580",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","8380"
"Alexi Amarista","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".265",".309",".573",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","9063"
"Josh Rutledge","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".270",".293",".563",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","11167"
